event_id,time,activity,lifecycle,msg_id,msg_payload,msg_role,x,y,z,robot,casename
268,2022-12-16T22:38:17.430367,weed_found,start,,,,8.306.482.005.427.110,1.036.616.056.813.160,147.192.526.099.654,drone,1
270,2022-12-16T22:38:27.466367,weed_position!,start,m_34,{weed: {x:8.306482005427112; y: 10.366160568131681} },send,8.306.482.005.427.110,1.036.616.056.813.160,147.192.526.099.654,drone,1
271,2022-12-16T22:38:27.486367,weed_position?,start,m_34,{weed: {x:8.306482005427112; y: 10.366160568131681} },receive,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
274,2022-12-16T22:38:37.479367,tractor_position!,start,m_35,{ header: tractor_1; position: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
275,2022-12-16T22:38:37.490367,tractor_position?,start,m_35,{ header: tractor_1; position: {x:6.809836790481844; y: 9.957262323579117} },receive,8.306.482.005.427.110,1.036.616.056.813.160,147.192.526.099.654,drone,1
278,2022-12-16T22:38:37.548367,select_closest_tractor,start,,,,8.306.482.005.427.110,1.036.616.056.813.160,147.192.526.099.654,drone,1
280,2022-12-16T22:38:37.569367,closest_tractor!,start,m_36,{ name: tractor_1 },send,8.306.482.005.427.110,1.036.616.056.813.160,147.192.526.099.654,drone,1
281,2022-12-16T22:38:37.580367,explore,start,,,,8.306.482.005.427.110,1.036.616.056.813.160,14.422.904.142.878.500,drone,1
283,2022-12-16T22:38:37.589367,closest_tractor?,start,m_36,{ name: tractor_1 },receive,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
284,2022-12-16T22:38:37.589367,closest_tractor?,start,m_36,{ name: tractor_1 },receive,8.879.041.748.163.930,987.270.648.578.018,0.0,tractor_2,1
285,2022-12-16T22:38:37.593367,move,start,,,,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
289,2022-12-16T22:38:37.619367,cut_grass,start,,,,8.306.482.005.427.110,1.036.616.056.813.160,0.0,tractor_1,1
292,2022-12-16T22:38:55.668367,weed_found,start,,,,8.004.844.298.531.820,9.987.084.519.988.130,14.422.904.142.878.500,drone,1
294,2022-12-16T22:39:05.691367,weed_position!,start,m_37,{weed: {x:8.004844298531822; y: 9.987084519988136} },send,8.004.844.298.531.820,9.987.084.519.988.130,14.422.904.142.878.500,drone,1
296,2022-12-16T22:39:25.691367,weed_position!,start,m_38,{weed: {x:8.004844298531822; y: 9.987084519988136} },send,8.004.844.298.531.820,9.987.084.519.988.130,14.422.904.142.878.500,drone,1
297,2022-12-16T22:39:25.710367,weed_position?,start,m_38,{weed: {x:8.004844298531822; y: 9.987084519988136} },receive,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
298,2022-12-16T22:39:25.711367,weed_position?,start,m_38,{weed: {x:8.004844298531822; y: 9.987084519988136} },receive,8.879.041.748.163.930,987.270.648.578.018,0.0,tractor_2,1
302,2022-12-16T22:39:35.701367,tractor_position!,start,m_39,{ header: tractor_1; position: {x:8.306482005427112; y: 10.366160568131681} },send,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
303,2022-12-16T22:39:35.721367,tractor_position?,start,m_39,{ header: tractor_1; position: {x:8.306482005427112; y: 10.366160568131681} },receive,8.004.844.298.531.820,9.987.084.519.988.130,14.422.904.142.878.500,drone,1
306,2022-12-16T22:39:35.775367,tractor_position!,start,m_40,{ header: tractor_2; position: {x:8.519964088798432; y: 8.951852175520266} },send,8.879.041.748.163.930,987.270.648.578.018,0.0,tractor_2,1
307,2022-12-16T22:39:35.787367,tractor_position?,start,m_40,{ header: tractor_2; position: {x:8.519964088798432; y: 8.951852175520266} },receive,8.004.844.298.531.820,9.987.084.519.988.130,14.422.904.142.878.500,drone,1
310,2022-12-16T22:39:35.826367,select_closest_tractor,start,,,,8.004.844.298.531.820,9.987.084.519.988.130,14.422.904.142.878.500,drone,1
312,2022-12-16T22:39:35.850367,closest_tractor!,start,m_41,{ name: tractor_1 },send,8.004.844.298.531.820,9.987.084.519.988.130,14.422.904.142.878.500,drone,1
313,2022-12-16T22:39:35.856367,closest_tractor?,start,m_41,{ name: tractor_1 },receive,8.519.964.088.798.430,8.951.852.175.520.260,0.0,tractor_2,1
315,2022-12-16T22:39:35.861367,explore,start,,,,8.004.844.298.531.820,9.987.084.519.988.130,14.614.961.768.400.100,drone,1
317,2022-12-16T22:39:35.871367,closest_tractor?,start,m_41,{ name: tractor_1 },receive,8.306.482.005.427.110,1.036.616.056.813.160,0.0,tractor_1,1
318,2022-12-16T22:39:35.878367,move,start,,,,8.306.482.005.427.110,1.036.616.056.813.160,0.0,tractor_1,1
321,2022-12-16T22:39:35.909367,cut_grass,start,,,,8.004.844.298.531.820,9.987.084.519.988.130,0.0,tractor_1,1
324,2022-12-16T22:39:52.942367,weed_found,start,,,,7.763.851.228.027.430,995.886.154.596.478,14.614.961.768.400.100,drone,1
326,2022-12-16T22:40:02.979367,weed_position!,start,m_42,{weed: {x:7.763851228027434; y: 9.95886154596478} },send,7.763.851.228.027.430,995.886.154.596.478,14.614.961.768.400.100,drone,1
